name,price_at_scrape,price_reduction_rec_retail_at_scrape,scraoe_date
L'Oreal Paris Age Perfect Intense Nutrition Night 50ml,23.99,12.96,2021-03-28
Gillette ProGlide Manual Cartridge 10 Pack,29.39,12.60,2021-03-28
Gillette ProGlide Manual Cartridge 10 Pack,29.39,12.60,2021-03-28
Gillette ProGlide Manual Cartridge 10 Pack,29.39,12.60,2021-03-28
Gillette ProGlide Manual Cartridge 10 Pack,29.39,12.60,2021-03-28
Gillette ProGlide Manual Cartridge 10 Pack,29.39,12.60,2021-03-28
Gillette ProGlide Manual Cartridge 10 Pack,29.39,12.60,2021-03-28
Maybelline The Falsies Lash Lift Volumising Mascara - Blackest Black,12.47,12.48,2021-03-28
Maybelline Lash Sky High Mascara Washable Blackest Black,12.47,12.48,2021-03-28
Maybelline Lash Sensational Sky High Mascara Waterproof,12.47,12.48,2021-03-28
Depend Women Real Fit Underwear Super Extra Large 16 Bulk Pack,17.99,12.00,2021-03-28
Depend Women Real Fit Underwear Super Large 16 Bulk Pack,17.99,12.00,2021-03-28
Depend Women Real Fit Underwear Super Medium 16 Bulk Pack,17.99,12.00,2021-03-28
Gillette Fusion Shaving Blades Refill 8 Pack,27.99,12.00,2021-03-28
Gillette Fusion Shaving Blades Refill 8 Pack,27.99,12.00,2021-03-28
Gillette Fusion Shaving Blades Refill 8 Pack,27.99,12.00,2021-03-28
Gillette Fusion 10 Pack,26.69,11.80,2021-03-28
Gillette Fusion 10 Pack,26.69,11.80,2021-03-28
Gillette Fusion 10 Pack,26.69,11.80,2021-03-28
Centrum Advance 50+ 100 Tablets,10.49,11.50,2021-03-28
Centrum Advance 100 Tablets,10.49,11.50,2021-03-28
Maybelline Lash Sensational Lengthening Mascara - Blackest Black,11.47,11.48,2021-03-28
Blackmores Conceive Well Gold 28 Tablets + 28 Capsules,31.99,11.01,2021-03-28
Blackmores Magmin 500mg 250 Tablets,38.49,11.00,2021-03-28
Nature's Own Bodyfuel Womens Multivitamin 60 Tablets,15.99,10.50,2021-03-28
Nature's Own Bodyfuel 50+ Multivitamin 60 Tablets,15.99,10.50,2021-03-28
Nature's Own Bodyfuel Mens Multivitamin 60 Tablets,15.99,10.50,2021-03-28
Oral B 3D White Luxe Advance Seal 14 Whitening Treatments,24.49,10.50,2021-03-28
Oral B 3D White Luxe Advance Seal 14 Whitening Treatments,24.49,10.50,2021-03-28
Nature's Way Glucosamine + Fish Oil 200 Soft Capsules,24.49,10.46,2021-03-28
La Roche-Posay Redermic Vitamin C10 Serum 30ml,59.49,10.46,2021-03-28
La Roche-Posay Hyalu B5 Hyaluronic Acid Anti-Ageing Serum 30ml,59.49,10.46,2021-03-28
La Roche Posay Retinol B3 Anti-Ageing Serum 30ml,59.49,10.46,2021-03-28
Neutrogena Hydro Boost Mask 5 Piece,9.99,10.00,2021-03-28
Neutrogena Hydro Boost Eye Roll-On 15g,9.99,10.00,2021-03-28
Aveeno Active Naturals Daily Moisturising Fragrance Free Body Lotion 1 Litre,15.99,10.00,2021-03-28
Aveeno Active Naturals Daily Moisturising Fragrance Free Body Lotion 1 Litre,15.99,10.00,2021-03-28
Blackmores Bio Magnesium 200 Tablets Exclusive Size,29.99,10.00,2021-03-28
Wagner Mega Magnesium + Sleep Berry 400g,29.99,10.00,2021-03-28
Nature's Way Beauty Collagen 40 Gummies,9.99,10.00,2021-03-28
Oral B Stages Kids Frozen Gift Pack 3+ Years,39.99,10.00,2021-03-28
